Epoch,Train Loss,Test Loss
1,0.2974765041664137,0.5660748308574831
2,0.2435934915455954,0.7470081899617169
3,0.2144599010521433,1.099057155686456
4,0.20070031776183941,0.5954830920374071
5,0.18311723564454876,0.7061102672203167
6,0.1775460937640994,0.3437269281696629
7,0.18156657335497528,0.5984041509596078
8,0.16266171111513655,0.7042706204024521
9,0.16078957790810133,0.6183668165593534
10,0.15513246909266593,1.383071350890237
11,0.1497805191265893,0.7281311492662172
12,0.14610989146608838,0.7354185804724693
13,0.14107213206385946,0.6796981639958717
14,0.15311301690683077,0.7218499747482506
15,0.14058076612122836,1.1446112813176335
16,0.1350091157975261,1.0069690644741058
17,0.14246815434984672,0.8994407436332187
18,0.12726595175527225,0.8855727089417947
19,0.13270319372332698,0.8752190784828083
20,0.13059185976564308,0.6993334027560981
21,0.12853128568502406,0.6624318538485346
22,0.1309425309722313,0.8417666449740127
23,0.12635163227217971,1.1950484208158545
24,0.12411889382620299,1.052280558122171
25,0.12822420145554203,1.1300303646036096
